,unnamed:_0,unnamed:_0,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
180,182,180,SR Foundation (SR Innovation Exchange),WarrantyMe,Hyderabad,Retail tech,"""WarrantyME is a service platform that offers e-warranty management, Device Insurance and repair services by listing a users consumer electronic/Home Appliance purchases into a single application. 
Today, If we go and buy an electronic device at a store they give us a physical copy of the invoice or email it to us, same goes for device insurance purchases. 
By Partnering with electronic retail stores we are registering/onboarding all consumer electronic purchases of a person like their Mobiles, TV'S, Refrigerator's....into the app, we digitise the bill, save the product details and then provide the after sale services like warranty/repair through our app. 
Whenever a person purchases a product, the product will be registered on his/her mobile number. So all the products in his/her home will be listed in the application. 

When the customer logs in: 
- He/She can track their products warranty period 
- Can access digital invoices of products 
- View FAQ, OEM Terms for warranty 
- Get Contact, Location details of OEM 
- Push Notifications will be delivered to customers as the warranty period of a product is about to expire. 

And If any product malfunctions, by the click of a button, We will forward the warranty request directly to the OEM if under warranty or forward the insurance request to the Insurer if itÃÂ¯ÃÂ¿ÃÂ½s an insurance case.
Without WarrantyMe, the customer has to find the invoice, look for the service centre, visit the location, wait for the slot and has to get the service done, and for insurance itÃÂ¯ÃÂ¿ÃÂ½s the same. Find the invoice, call toll free, wait for executive..etc. But with WarrantyMe, both services can be accessed by the click of a button. We are acting as a bridge between both the OEM and the Insurers to make the service simpler for customers.
We are creating a platform to offer a 3 way after sale service.""",warrantyme service platform offers e warranty management device insurance repair services listing users consumer electronic home appliance purchases single application today go buy electronic device store give us physical copy invoice email us goes device insurance purchases partnering electronic retail stores registering onboarding consumer electronic purchases person like mobiles tv refrigerator app digitise bill save product details provide sale services like warranty repair app whenever person purchases product product registered mobile number products home listed application customer logs track products warranty period access digital invoices products view faq oem terms warranty get contact location details oem push notifications delivered customers warranty period product expire product malfunctions click button forward warranty request directly oem warranty forward insurance request insurer insurance case without warrantyme customer find invoice look service centre visit location wait slot get service done insurance find invoice call toll free wait executive etc warrantyme services accessed click button acting bridge oem insurers make service simpler customers creating platform offer way sale service
181,183,181,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Mclabs Pvt Ltd,Mumbai,Communications,We are proposing a PS-LTE based communication system which is based on Broadband 4G/LTE technology,proposing ps lte based communication system based broadband g lte technology
182,184,182,SR Foundation (SR Innovation Exchange),Youcode Intelligence Solutions,Chennai,EDTECH,"""Working Towards solutions for Empowering Technology skills of Small Town and Village Kids in India. 

During the Corona Crisis - Created an AI powered Security solution for Women Safety 
Edge AI-powered Women Violence Detection 
Github - https://github.com/youcode-in/Edge-AI-powered-Women-Violence-Detection 
Youtube Demo- https://www.youtube.com/watch?v=yTFO9huYuPo
""",working towards solutions empowering technology skills small town village kids india corona crisis created ai powered security solution women safety edge ai powered women violence detection github youtube demo
183,185,183,Forge (Coimbatore Innovation and Business Incubator),BigDipper Exploration Technologies,Delhi,Space Tech,"The startup is developing Autonomous Industrial Robots which will enable a thriving Cislunar economy, by developing infrastructure and utilizing resources on the Lunar surface.",startup developing autonomous industrial robots enable thriving cislunar economy developing infrastructure utilizing resources lunar surface
184,186,184,Forge (Coimbatore Innovation and Business Incubator),Abhaya Information Technology,"Mumbai, Maharashtra",Digital Health Tech,Telemedicine platform for Remote health monitoring through Wearable solutions.The wearables are a set of devices that collect data on the patientÃÂ¯ÃÂ¿ÃÂ½s vital parameters and send it to the doctors enabling them with remote consulting services.,telemedicine platform remote health monitoring wearable solutions wearables set devices collect data patient vital parameters send doctors enabling remote consulting services
185,187,185,Forge (Coimbatore Innovation and Business Incubator),TestedOK Technologies,"Coimbatore, Tamil Nadu",Industrial Digital Transformation,The startup is aimed at providing cost-efficient QC automation solutions to MSMEs by using Machine Vision Technology with proprietary Illumination systems and surface-level anomaly detection.,startup aimed providing cost efficient qc automation solutions msmes using machine vision technology proprietary illumination systems surface level anomaly detection
186,188,186,Forge (Coimbatore Innovation and Business Incubator),PQSI Digital,"Chennai, Tamil Nadu",Industry Digital Transformation (Manufacturing Industries),"PQSI offers SaaS model for Asset Management System that is backed with reliable data drive insights, that enable outcomes in quality and productivity.",pqsi offers saas model asset management system backed reliable data drive insights enable outcomes quality productivity
187,189,187,Forge (Coimbatore Innovation and Business Incubator),Torus Robotics Pvt Ltd,"Chennai, Tamil Nadu",Future Mobility,"Torus Robotics is a Defence Tech Startup working on Unmanned Ground Vehicles, Robotics and Indigenous Powertrains for the Indian Defence and commercial market. Currently they are working on one of the world's most compact and lightweight electric motor technology to satisfy the need for an indigenous powertrain solution by the Indian EV Market.",torus robotics defence tech startup working unmanned ground vehicles robotics indigenous powertrains indian defence commercial market currently working one world compact lightweight electric motor technology satisfy need indigenous powertrain solution indian ev market
188,190,188,Forge (Coimbatore Innovation and Business Incubator),ExactSpace Technologies,"Bangalore, Karnataka","Industrial Digital Transformation (Energy Sector, Process Industries)","Exactspace has created a cloud based AI engine, Pulse that enables remote monitoring of energy assets in industrial plants that offers human-like intelligence for predictive maintenance and process optimisation. They are developing a IR based weather monitor for applications in Solar Farms",exactspace created cloud based ai engine pulse enables remote monitoring energy assets industrial plants offers human like intelligence predictive maintenance process optimisation developing ir based weather monitor applications solar farms
189,191,189,Forge (Coimbatore Innovation and Business Incubator),Aindra Systems,"Bangalore, Karnataka",Digital Health Tech,"AIndra SystemsÃÂ¯ÃÂ¿ÃÂ½ vision is to leverage technology and create better healthcare diagnostic solutions. They are an Artificial Intelligence driven company that is focused on creating diagnostic solutions for fatal illnesses. Astra, an intelligent platform is used in cancer & lung disorder diagnosis and covid screening from x-rays",aindra systems vision leverage technology create better healthcare diagnostic solutions artificial intelligence driven company focused creating diagnostic solutions fatal illnesses astra intelligent platform used cancer lung disorder diagnosis covid screening x rays
190,192,190,IIM Udaipur Incubation Centre,Yobny Technology Solution Pvt Ltd,Bangalore / Udaipur,multi-sector (B2B SaaS),"Yobny helps businesses in improving their customer engagement, user experience and managing their queues & unmanaged crowds.",yobny helps businesses improving customer engagement user experience managing queues unmanaged crowds
191,193,191,Forge (Coimbatore Innovation and Business Incubator),Blackfrog Technologies,"Manipal, Karnataka",Digital Health Tech,"Emvolio is a trackable and intelligent cold storage vaccine carrier with precision refrigeration, 2 litre capacity compatible for transportation of blood, plasma, serums, COVID-19 samples. The carrier is ergonomically designed and rugged for all weather conditions. Emvolio has the ability to maintain the temperature with an accuracy of 0.5 degree celsius and weighs under 5kg.",emvolio trackable intelligent cold storage vaccine carrier precision refrigeration litre capacity compatible transportation blood plasma serums covid samples carrier ergonomically designed rugged weather conditions emvolio ability maintain temperature accuracy degree celsius weighs kg
192,194,192,IIM Udaipur Incubation Centre,Statlogic India Pvt Ltd,Bangalore,Agritech,Statlogic is addressing the challenges in smallholder dairy production by leveraging data analytics and new age technologies for increasing animal productivity and easier access to financial credits for small dairy producers,statlogic addressing challenges smallholder dairy production leveraging data analytics new age technologies increasing animal productivity easier access financial credits small dairy producers
193,195,193,IIM Udaipur Incubation Centre,Arktane Technologies Private Limited,Noida,Aviation,"Arktane is developing a reusable electronic baggage tag. These tags will replace the paper based tags used by airports and airlines to ID and track air passenger luggage. Primary advantages being more accurate tracking, with less misreads and miss-placements . That will drastically reduce manual operations and multiple direct and indirect costs associated with it.",arktane developing reusable electronic baggage tag tags replace paper based tags used airports airlines id track air passenger luggage primary advantages accurate tracking less misreads miss placements drastically reduce manual operations multiple direct indirect costs associated
194,196,194,Gujarat University Startup and Entrepreneurship Council (GUSEC),Multplyr,Ahmedabad,Enterprise Solution,"Multplyr is a sourcing and productivity tool that uses intelligent discovery and matching to connect recruiters with relevant talent.
It helps in:
- Higher productivity and increased margins via better sourcing
- Enables to search for talent into 3rd degree networks, without parting with ownership of data
- Gives the company control over the work their recruiters do, irrespective of them being on leave, or leaving employment
- No setup required, zero integrations, easy and free to get started",multplyr sourcing productivity tool uses intelligent discovery matching connect recruiters relevant talent helps higher productivity increased margins via better sourcing enables search talent rd degree networks without parting ownership data gives company control work recruiters irrespective leave leaving employment setup required zero integrations easy free get started
195,197,195,"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",MILATRONICS PRIVATE LIMITED,"MUDAVADIBBA,Andhra Pradesh",AGRICULTURE,"Aqua culture based smart monitoring, autofeeding & Pond automation devices manufacturing company",aqua culture based smart monitoring autofeeding pond automation devices manufacturing company
196,198,196,Gujarat University Startup and Entrepreneurship Council (GUSEC),Quixote Automotive Technologies Pvt Ltd,Ahmedabad,AI/ML,Quixote builds end-to-end Connected Car technology and provides vehicle commerce engine layer to ease the consumer's day to day vehicle ownership journey.,quixote builds end end connected car technology provides vehicle commerce engine layer ease consumer day day vehicle ownership journey
197,199,197,Gujarat University Startup and Entrepreneuship council (GUSEC),Plutomen Technologies Pvt Ltd,Ahmedabad,VR/AR/MR/XR,Plutomen ARMS is an Augmented Reality based Remote Assistance & Collaborative Platform (B2B & B2B2C) intended to help field service technicians and off-site employees.,plutomen arms augmented reality based remote assistance collaborative platform b b b b c intended help field service technicians site employees
198,200,198,Gujarat University Startup and Entrepreneurship Council (GUSEC),IEIDidactics LLP,Vadodara,Education,"IEI Didactics was started as a freelancing firm to impart life skill education to students using activity-based training programs, activity kits and membership programs. IEI here refers to Inspire, Explore and Innovate which is the pedagogy that the startup follow with online programs and activity kits. It currently serves more than 1000 kids, parents and teachers with their soft skills building programs across Gujarat.",iei didactics started freelancing firm impart life skill education students using activity based training programs activity kits membership programs iei refers inspire explore innovate pedagogy startup follow online programs activity kits currently serves kids parents teachers soft skills building programs across gujarat
199,201,199,"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",Uplink-Automation Private Limited,"Vijayawada, Andhra Pradesh",IoT- manufacturing & consumer electronics,https://uplinkautomation.com/#aboutsUs,uplink fabricator next generation printer featuring board ai iot capabilities designed high quality fast user friendly printing offers intuitive operation features like automatic calibration remote monitoring via dedicated app ai powered system optimizes prints detects errors provides predictive maintenance ensuring precision efficiency beginners experts supporting various materials like pla abs petg uplink fabricator ai iot integrated printer emphasizing ease use speed precision ai system provides real time print optimization intelligent assistance iot connectivity allows remote monitoring control combination aims deliver superior print quality high speeds making suitable wide range users applications
200,202,200,Gujarat University Startup and Entrepreneurship Council (GUSEC),UrbanKHET,Ahmedabad,Agriculture,"Urbankhet is a technology driven aggregator for empty urban spaces. It makes Micro Farms, which are high yield farms and can produce up to 1kg/sqft. The startup intends to create a hyper local network of the micro farms. It involves a maximum of three stakeholders in the Micro Farms, 1st the person who has the space. 2nd the person who is investing for the micro farm and the technical stakeholder which can be any technically approved agencies according to its checklist.",urbankhet technology driven aggregator empty urban spaces makes micro farms high yield farms produce kg sqft startup intends create hyper local network micro farms involves maximum three stakeholders micro farms st person space nd person investing micro farm technical stakeholder technically approved agencies according checklist
201,203,201,STEP - TIET Patiala,Monsys IoT,Patiala,Electronics and Waste water,"MONSYS IOT LLP (LLPIN: AAX-5041) is a Limited Liability Partnership firm incorporated on 23 Dec 2021. It is registered at Registrar of Companies, Chandigarh. Its total obligation of contribution is Rs. 500000.00. Designated Partners of MONSYS IOT LLP are KARMJIT SINGH SANDHA, and AMIT DHIR.Designated Partners of MONSYS IOT LLP are KARMJIT SINGH SANDHA, and AMIT DHIR. MONSYS IOT LLP's last financial year end date for which Statement of Accounts and Solvency were filed is 31 Dec 2023. and as per records from Ministry of Corporate Affairs (MCA), date of last financial year end date for which Annual Return were filed is 31 Dec 2023. MONSYS IOT LLP's LLP Identification Number is (LLPIN)AAX-5041. Its Email address is kssandha@thapar.edu and its registered address is HOUSE (RESI) FRA 502, THAPAR CAMPUS, PATIALA, Punjab, India - 147004",monsys iot llp llpin aax limited liability partnership firm incorporated dec registered registrar companies chandigarh total obligation contribution rs designated partners monsys iot llp karmjit singh sandha amit dhir designated partners monsys iot llp karmjit singh sandha amit dhir monsys iot llp last financial year end date statement accounts solvency filed dec per records ministry corporate affairs mca date last financial year end date annual return filed dec monsys iot llp llp identification number llpin aax email address kssandha thapar edu registered address house resi fra thapar campus patiala punjab india
202,204,202,Gujarat University Startup and Entrepreneurship Council (GUSEC),E-Vega Mobility Labs,Ahmedabad,Clean Energy,"We are solving the sluggish job of testing the batteries in an economical manner. Conventional battery testing procedure require continuous monitoring and skilful involvement of humans to avoid any maltreatment & hazards. Our product RTM-42 will be designed for testing and analysing any of the lithium batteries in lesser time using state of the art ML algorithms. We are solving the problem of complex, time taking and costly Lithium battery testing. Through our state of the art hardware device we would be rapidly testing the crucial parameters of the Lithium battery. The Goal is to make a universal battery tester eligible to test various types of lithium batteries. Generally, a battery capacity tester is costing more than INR 3 lakhs for lithium batteries. In order to reduce the dependency on such testers, we are introducing universal rapid testing device RTM-42, which is a patent-able hardware device designed for easing the process of lithium battery testing. Our device RTM-42 is a portable, reliable, user-friendly and economic device which will mainly help in bringing the overall cost of Lithium batteries down to certain extent.",solving sluggish job testing batteries economical manner conventional battery testing procedure require continuous monitoring skilful involvement humans avoid maltreatment hazards product rtm designed testing analysing lithium batteries lesser time using state art ml algorithms solving problem complex time taking costly lithium battery testing state art hardware device would rapidly testing crucial parameters lithium battery goal make universal battery tester eligible test various types lithium batteries generally battery capacity tester costing inr lakhs lithium batteries order reduce dependency testers introducing universal rapid testing device rtm patent able hardware device designed easing process lithium battery testing device rtm portable reliable user friendly economic device mainly help bringing overall cost lithium batteries certain extent
203,205,203,"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",Seeram Innovations Pvt. Ltd.,"Tadepalli, Andhra Pradesh",Manufacturing,Startup into development of remote controlled table top CNC machine for multiple operations useful in small & medium industries,startup development remote controlled table top cnc machine multiple operations useful small medium industries
204,206,204,Gujarat University Startup and Entrepreneurship Council (GUSEC),microfinance.ai - Uthaan Technologies Pvt Ltd,Delhi,Financial Inclusion,"Microfinance.AI is bringing the AI platform to the Microfinance Sector in developing countries. As having more than 100Mn+ borrowers and 150K+ MFI field staff working constantly to provide low-ticket credit to underserved segment, most of the end-users often not having a cutting edge technology tools. Our platform provides simplified, vernacular and voice-assisted mobile tools to MFI's field staff and borrowers to optimize and reduce time to avail services while using data to offer value-added financial services. Our core team has more than 30 years of experience with education from LSE and IIT Delhi.",microfinance ai bringing ai platform microfinance sector developing countries mn borrowers k mfi field staff working constantly provide low ticket credit underserved segment end users often cutting edge technology tools platform provides simplified vernacular voice assisted mobile tools mfi field staff borrowers optimize reduce time avail services using data offer value added financial services core team years experience education lse iit delhi
205,207,205,Gujarat University Startup and Entrepreneurship Council (GUSEC),Waste Tracker - Towaso Pvt ltd,Jamshedpur,Environment,"We are Digitising the Waste Management Supply Chain by Integrating all the Stakeholders of the ecosystem & Incentivising Source Segregation for both Households & Waste Collectors through our IOT enabled Smart Glove and AI driven Supply Chain.
TowaSo-Tracker , a SAAS product integrated with an IoT enabled Smart Glove for Garbage Collectors , collects the real time data (transmitted over LoRaWAN ) to track the Waste Segregation and the amount of waste being collected wich gets reflected in the dashboard in real time also enables the system to send a notification to the users about the estimated time of arrival of the Garbage Collector. With real time tracking of activities, it creates a system of Accountability for all the stakeholders , resulting in proper segregation by the end consumer, and also regular services by the service provider as the payment is linked with the everyday services(i.e. pay as you have been served), all this results in Segregated garbage for the processing plants / Recycling Industries which increases the efficiency in the Supply chain and reduces Carbon Footprint in the Environment.",digitising waste management supply chain integrating stakeholders ecosystem incentivising source segregation households waste collectors iot enabled smart glove ai driven supply chain towaso tracker saas product integrated iot enabled smart glove garbage collectors collects real time data transmitted lorawan track waste segregation amount waste collected wich gets reflected dashboard real time also enables system send notification users estimated time arrival garbage collector real time tracking activities creates system accountability stakeholders resulting proper segregation end consumer also regular services service provider payment linked everyday services e pay served results segregated garbage processing plants recycling industries increases efficiency supply chain reduces carbon footprint environment
206,208,206,"Koneru Lakshmaiah Technology Incubators Foundation (KLTIF) - Center for Innovation,Incubation & Entrepreneurship (CIIE)",CHEMSENS Technologies private limited,"Vijayawada , Andhra Pradesh",Healthcare,"To research, design, provide, manufacture, import, export, develop reliable and affordable sensing technologies and devices for the
detection and quantification of chemical and biological molecules of interest in health care and to provide solutions for a variety of clinical
and health problems such as testing for vitamin D deficiency, prostate cancer, and other diseases. To carry out ancillary, incidental, complementary and other necessary activities to achieve above",research design provide manufacture import export develop reliable affordable sensing technologies devices detection quantification chemical biological molecules interest health care provide solutions variety clinical health problems testing vitamin deficiency prostate cancer diseases carry ancillary incidental complementary necessary activities achieve
207,209,207,STEP-TIET Patiala,Cruxeware Technologies LLP,Saharanpur,Technology(AI),"https://www.linkedin.com/company/cruxe7/?viewAsMember=true
",cruxe ai based content curation platform specifically designed assist content creators content teams within companies founded cruxe software development company based mountain view california providing ai powered solution simplify optimize content curation processes businesses
208,210,208,STEP TIET Patiala,Roschcrete Technologies Private Limited,"Jalandhar City, Punjab",Construction / Smart City,roschcrete.com,roschcrete technologies pvt ltd incubated thapar university specializes advanced defense grade concrete products smart architectural solutions product portfolio includes ballistic panels anti tank barriers vaults modular bunkers kerbstones bollards starlight flooring signage digital dustbins designed architectural smart city defense urban concrete applications company committed sustainable development blending innovation technology construction roschcrete combines engineering artistry offering solutions structural integrity meets designer elegance utilize eco conscious manufacturing sustainable sourcing low carbon mixes along state art equipment innovative concrete materials like fics fiber infiltrated concrete slurry cellular foam concrete expertise allows provide high quality value money solutions trusted defense applications architectural projects shaping modern infrastructure strength sustainable design
209,211,209,STEP - TIET PATILA,Minus Zero Robotics Private Limited,Patiala,Autonomous Vehicles (AI & Robotics),"Minus Zero is one of the India's first startup building affordable fully Driverless Cars in the country. The vehicles would be capable of fully autonomous maneuvers in world's toughest unstructured and disorganized traffic scenarios, powered by proprietary nature-inspired AI that is less dependent on extensive data & costly sensor suite (like LIDAR's, etc.).
https://youtu.be/wFckSLW_Gjk
Nil",minus zero one india first startup building affordable fully driverless cars country vehicles would capable fully autonomous maneuvers world toughest unstructured disorganized traffic scenarios powered proprietary nature inspired ai less dependent extensive data costly sensor suite like lidar etc nil
210,212,210,STEP TIET,Tensor Matics Pvt Ltd,Tensor Matics Pvt Ltd,AI - ML,End to End AI Dev Tool,end end ai dev tool
211,213,211,JECRC Incubation Centre,Botnomics Techrola India Pvt. Ltd.,"Hyderabad, Bangalore, Jaipur",Information Technology,https://www.linkedin.com/company/botnomics,bumblebot technologies founded services consulting company dedicated transforming digital employee experience endpoint automation aim provide seamless efficient personalized digital experiences automating processes primary product tasky ai powered virtual administrator proactively monitors heals automates issues tasky significantly boosts uptime reduces ticket loads offers comprehensive management including real time alerts self healing capabilities
212,214,212,BEA,Ozzie Technologies,"Kolkata, West Bengal",Information Technologies,"Welcome to Ozzie Technologies, your number one source for all things CRM. We're dedicated to giving you the very best of CRM, with a focus on Customer oriented ,Client Centric CRM solution.


Founded in 2015 by Sachin Giri, Ozzie Technologies has come a long way from its beginnings in Kolkata. When Sachin Giri first started out, his passion for connect cultivate & contribute drove them to do tons of research. So that Ozzie Technologies can offer you best CRM. The world most reliable CRM provider, We now serve customers all places in India and Oman. We are thrilled that we're able to turn our passion into my own business.




Highlight :



Successfully developed CRM solution for Ministry of Heritage and Culture (Oman).

(Earlier known as Public authority of craft industries )",welcome ozzie technologies number one source things crm dedicated giving best crm focus customer oriented client centric crm solution founded sachin giri ozzie technologies come long way beginnings kolkata sachin giri first started passion connect cultivate contribute drove tons research ozzie technologies offer best crm world reliable crm provider serve customers places india oman thrilled able turn passion business highlight successfully developed crm solution ministry heritage culture oman earlier known public authority craft industries
213,215,213,JECRC Incubation Centre,Aloe Ecell Pvt. Ltd.,Lucknow,Energy,Aloe Ecell is a 2019 incorporated and globally recognized world's first 100% Eco-Friendly Battery making company,aloe ecell incorporated globally recognized world first eco friendly battery making company
214,216,214,JECRC Incubation Centre,Dexterio,Jaipur,ICT,"Dexterio is working on revolutionizing the interior designing industry by selling prefab rooms. They have specialization in democratizing Interior Design, Delivering Beautiful Interior's at budget friendly prices!",dexterio working revolutionizing interior designing industry selling prefab rooms specialization democratizing interior design delivering beautiful interior budget friendly prices
215,217,215,JECRC Incubation Centre,Retail Setu,Singrauli (MP),Ecommerce,https://www.indiamart.com/retail-setu-singrauli/,retail setu partnership firm established singrauli madhya pradesh operates retailer offering broad array consumer products inventory includes children toys kitchen appliances sandwich makers toasters kettles juicer mixer grinders along stationery items health monitoring devices like glucose monitors thermometers based singrauli madhya pradesh retail setu partnership firm founded annual turnover lakhs team employees company provides diverse range goods featuring branded items like havells kitchen appliances itc classmate crayons control health devices alongside various kids toys pvc files
216,218,216,JECRC Incubation Centre,Show-U,Udaipur,ICT,"Show-U, an Udaipur-based startup focused on IoT (Internet of Things) solutions, aims to provide innovative products and services by leveraging connected devices and data analytics. Their work likely involves developing and implementing IoT solutions for various sectors, potentially including smart homes, industrial automation, or agricultural applications. They may also be involved in developing custom software and hardware components for IoT devices.",show u udaipur based startup focused iot internet things solutions aims provide innovative products services leveraging connected devices data analytics work likely involves developing implementing iot solutions various sectors potentially including smart homes industrial automation agricultural applications may also involved developing custom software hardware components iot devices
217,219,217,JECRC Incubation Centre,Repobuild IT Solutions Pvt. Ltd.,Jaipur,HR,Repobuild create digital resumes & specialized profiles to highlight yourself amidst pool of talent.,repobuild create digital resumes specialized profiles highlight amidst pool talent
218,220,218,AIC@36Inc,TECHB,B market sec 4 bhilai,3d printer and cnc manufacturing,A 3d printer manufacturing company with expertise of IOT based cnc manufacturing solution,printer manufacturing company expertise iot based cnc manufacturing solution
219,221,219,JECRC Incubation Centre,ED Apply Pvt. Ltd.,Jaipur,EdTech,"EDAPPLY PRIVATE LIMITED is a company dedicated to providing practical knowledge in the field of technology. They offer workshops and DIY kits for high school students aged 12 and above, focusing on areas like AI, Robotics, and Design Thinking. The aim is to enhance the education system by fostering critical thinking and collaboration skills in students. Ed Apply strives to inspire the next generation of entrepreneurs, designers, makers, and inventors through their innovative projects. ",edapply private limited company dedicated providing practical knowledge field technology offer workshops diy kits high school students aged focusing areas like ai robotics design thinking aim enhance education system fostering critical thinking collaboration skills students ed apply strives inspire next generation entrepreneurs designers makers inventors innovative projects
220,222,220,AIC@36Inc,Acculegal Services Private Limited,"36 inc , city centre mall, pandri , Raipur","Finance, Legal , consultancy, accounting","A fully integrated and hybrid tech-driven platform that fulfils all the legal, compliance and accounting needs of SMBs and Startups across the country. We combine automation and manual processes in an intuitive and intelligent manner. Starting from diagnosis of financial health to effective solutions to optimise their financial health.",fully integrated hybrid tech driven platform fulfils legal compliance accounting needs smbs startups across country combine automation manual processes intuitive intelligent manner starting diagnosis financial health effective solutions optimise financial health
221,223,221,AIC@36Inc,Bastar Se Bazar Tak Private Limited,Uttar Bastar,Agri-business,"""We are a private for-profit farmer partnership social startup with goal of better livelihoods for Gramin Bastarian farmers now and for future generations, working on Post-harvest primary processing of farm and forest produce Custard apple fruit (Sitaphal), Deshi raw mango (Aam), Tamarind (Imali) and Black plum (Jamun). 
The start-up reducing the post-harvest losses, enhancing livelihoods of local forest dwellers with creating flexible and supportive employment opportunities for local community, and supplying high quality, unadulterated naturally pure forest healthy product processed, packed and made conveniently available to urban consumers/buyers at fair price. 
""",private profit farmer partnership social startup goal better livelihoods gramin bastarian farmers future generations working post harvest primary processing farm forest produce custard apple fruit sitaphal deshi raw mango aam tamarind imali black plum jamun start reducing post harvest losses enhancing livelihoods local forest dwellers creating flexible supportive employment opportunities local community supplying high quality unadulterated naturally pure forest healthy product processed packed made conveniently available urban consumers buyers fair price
222,224,222,AIC@36Inc,Coshal Art,Raipur,Handicraft,"Coshal works directly with tribal artisans and small enterprises practicing and manufacturing various art forms. In addition, we cater to both individual and large customers such as Institutional or Corporate buyers.",coshal works directly tribal artisans small enterprises practicing manufacturing various art forms addition cater individual large customers institutional corporate buyers
223,225,223,AIC@36Inc,Jivandeep,Raipur,Healthcare,"At Jivandeep, we are dedicated to revolutionizing the field of organ transplantation through comprehensive, innovative, and compassionate healthcare solutions. Founded by Ravindra Singh Kshatri, our mission is to deliver end-to-end support for individuals navigating the complexities of organ transplantation, both within India and globally.
Our mission is to create a seamless, patient-centric experience that encompasses the entire spectrum of organ transplantation. From early diagnosis and organ failure prediction to post-transplant rehabilitation, we are committed to enhancing the quality of life for our patients through state-of-the-art technology and personalized care.
We envision a world where organ transplant patients receive timely, precise, and holistic care, empowering them to lead healthy and fulfilling lives. Our ultimate goal is to establish a cutting-edge multi-specialty hospital that adheres to international standards, serving patients not just from India but from around the world.",jivandeep dedicated revolutionizing field organ transplantation comprehensive innovative compassionate healthcare solutions founded ravindra singh kshatri mission deliver end end support individuals navigating complexities organ transplantation within india globally mission create seamless patient centric experience encompasses entire spectrum organ transplantation early diagnosis organ failure prediction post transplant rehabilitation committed enhancing quality life patients state art technology personalized care envision world organ transplant patients receive timely precise holistic care empowering lead healthy fulfilling lives ultimate goal establish cutting edge multi specialty hospital adheres international standards serving patients india around world
224,226,224,AIC@36Inc,Binomial Analytics,Raipur,IT and Technology Innovation,"Agrowand prototype ready for demo, filed trademark. Agrowand provides real time data of farmland for monitoring activity. Mobile Application for Data Collection Ready. Working on analytics and integration of Agrowand data in farmgauge farm management software.",agrowand prototype ready demo filed trademark agrowand provides real time data farmland monitoring activity mobile application data collection ready working analytics integration agrowand data farmgauge farm management software
225,227,225,AIC@36Inc,Rawfit,Raipur,Heathcare & Wellness,"Raw Fit is a venture which aims to provide a holistic approach towards fitness. Our wide range of group workouts designed and run by well-qualified trainers are filled with a lot of fun, engagement & sporting activities, which train your body for optimum fitness most effectively and entertainingly. These group classes are designed for all levels of fitness enthusiasts of age groups 16 and above",raw fit venture aims provide holistic approach towards fitness wide range group workouts designed run well qualified trainers filled lot fun engagement sporting activities train body optimum fitness effectively entertainingly group classes designed levels fitness enthusiasts age groups
226,228,226,JECRC Incubation Centre,Puaerte Visual,Jaipur,Design Tech,"Puaerte Visual is a prominent design-tech company dedicated to achieving real-world results from technology-enabled solutions. We help the clients with planning, implementation, and management for their business transformations. Multi-delivery choices, integration of new and emerging technologies, and leveraging technologies such as Augmented Reality, Virtual Reality, Mixed Reality, and Metaverse, as well as the potential of Artificial Intelligence and Machine Learning, are all part of this strategy. Our main purpose is to help our clients in achieving long-term success. ",puaerte visual prominent design tech company dedicated achieving real world results technology enabled solutions help clients planning implementation management business transformations multi delivery choices integration new emerging technologies leveraging technologies augmented reality virtual reality mixed reality metaverse well potential artificial intelligence machine learning part strategy main purpose help clients achieving long term success
227,229,227,PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Dot World Technologies,Coimbatore,Robotics / Automation,"We are a creative team of robotics engineers, design enthusiasts and innovationeers. We created Dot World to be a dynamic ecosystem to learn and grow as professionals, and to celebrate the passion of solving challenges using cutting-edge technology.
",creative team robotics engineers design enthusiasts innovationeers created dot world dynamic ecosystem learn grow professionals celebrate passion solving challenges using cutting edge technology
228,230,228,PSG - Science and Technology Entrepreneurial Park (PSG - STEP),Agna Inc,Coimbatore,Bio Medical,AGNAÃÂ¯ÃÂ¿ÃÂ½s manufacturing and sourcing strength in critical and precision assemblies given the required confidence in venturing into physiotherapy aids and custom built mobility aids. We are specialized sourcing and trading geriatric products also under the brand ÃÂ¯ÃÂ¿ÃÂ½Happy Aging SolutionsÃÂ¯ÃÂ¿ÃÂ½,agna manufacturing sourcing strength critical precision assemblies given required confidence venturing physiotherapy aids custom built mobility aids specialized sourcing trading geriatric products also brand happy aging solutions
